,state,dem_votes,rep_votes,dem_percent,rep_percent,stateid,Latitude,Longitude
20,Alabama,"849,624","1,441,170",36.60%,62.00%,AL,32.7794,-86.8287
21,Alaska,"153,778","189,951",42.80%,52.80%,AK,64.0685,-152.2782
4,Arizona,"1,672,143","1,661,686",49.40%,49.10%,AZ,34.2744,-111.6602
22,Arkansas,"423,932","760,647",34.80%,62.40%,AR,34.8938,-92.4426
23,California,"11,110,250","6,006,429",63.50%,34.30%,CA,37.1841,-119.4696
24,Colorado,"1,804,352","1,364,607",55.40%,41.90%,CO,38.9972,-105.5478
25,Connecticut,"1,080,831","714,717",59.30%,39.20%,CT,41.6219,-72.7273
26,Delaware,"296,268","200,603",58.70%,39.80%,DE,38.9896,-75.505
27,District of Columbia,"317,323","18,586",92.10%,5.40%,DC,38.9101,-77.0147
5,Florida,"5,297,045","5,668,731",47.90%,51.20%,FL,28.6305,-82.4497
6,Georgia,"2,473,633","2,461,854",49.50%,49.30%,GA,32.6415,-83.4426
28,Hawaii,"366,130","196,864",63.70%,34.30%,HI,20.2927,-156.3737
29,Idaho,"287,021","554,119",33.10%,63.90%,ID,44.3509,-114.613
30,Illinois,"3,471,915","2,446,891",57.50%,40.60%,IL,40.0417,-89.1965
31,Indiana,"1,242,413","1,729,516",41.00%,57.00%,IN,39.8942,-86.2816
7,Iowa,"759,061","897,672",44.90%,53.10%,IA,42.0751,-93.496
32,Kansas,"570,323","771,406",41.60%,56.20%,KS,38.4937,-98.3804
33,Kentucky,"772,474","1,326,646",36.20%,62.10%,KY,37.5347,-85.3021
34,Louisiana,"856,034","1,255,776",39.90%,58.50%,LA,31.0689,-91.9968
35,Maine,"435,072","360,737",53.10%,44.00%,ME,45.3695,-69.2428
37,Maryland,"1,985,023","976,414",65.40%,32.20%,MD,39.055,-76.7909
38,Massachusetts,"2,382,202","1,167,202",65.60%,32.10%,MA,42.2596,-71.8083
9,Michigan,"2,804,040","2,649,852",50.60%,47.80%,MI,44.3467,-85.4102
10,Minnesota,"1,717,077","1,484,065",52.40%,45.30%,MN,46.2807,-94.3053
39,Mississippi,"539,508","756,789",41.10%,57.60%,MS,32.7364,-89.6678
40,Missouri,"1,253,014","1,718,736",41.40%,56.80%,MO,38.3566,-92.458
41,Montana,"244,786","343,602",40.50%,56.90%,MT,47.0527,-109.6333
42,Nebraska,"374,583","556,846",39.40%,58.50%,NE,41.5378,-99.7951
12,Nevada,"703,486","669,890",50.10%,47.70%,NV,39.3289,-116.6312
13,New Hampshire,"424,921","365,654",52.70%,45.40%,NH,43.6805,-71.5811
45,New Jersey,"2,608,335","1,883,274",57.30%,41.40%,NJ,40.1907,-74.6728
46,New Mexico,"501,614","401,894",54.30%,43.50%,NM,34.4071,-106.1126
47,New York,"5,244,886","3,251,997",60.90%,37.70%,NY,42.9538,-75.5268
14,North Carolina,"2,684,292","2,758,775",48.60%,49.90%,NC,35.5557,-79.3877
48,North Dakota,"114,902","235,595",31.80%,65.10%,ND,47.4501,-100.4659
15,Ohio,"2,679,165","3,154,834",45.20%,53.30%,OH,40.2862,-82.7937
49,Oklahoma,"503,890","1,020,280",32.30%,65.40%,OK,35.5889,-97.4943
50,Oregon,"1,340,383","958,448",56.50%,40.40%,OR,43.9336,-120.5583
16,Pennsylvania,"3,458,229","3,377,674",50.00%,48.80%,PA,40.8781,-77.7996
51,Rhode Island,"307,486","199,922",59.40%,38.60%,RI,41.6762,-71.5562
52,South Carolina,"1,091,541","1,385,103",43.40%,55.10%,SC,33.9169,-80.8964
53,South Dakota,"150,471","261,043",35.60%,61.80%,SD,44.4443,-100.2263
54,Tennessee,"1,143,711","1,852,475",37.50%,60.70%,TN,35.858,-86.3505
17,Texas,"5,259,126","5,890,347",46.50%,52.10%,TX,31.4757,-99.3312
55,Utah,"560,282","865,140",37.60%,58.10%,UT,39.3055,-111.6703
56,Vermont,"242,820","112,704",66.10%,30.70%,VT,44.0687,-72.6658
57,Virginia,"2,413,568","1,962,430",54.10%,44.00%,VA,37.5215,-78.8537
58,Washington,"2,369,612","1,584,651",58.00%,38.80%,WA,47.3826,-120.4472
59,West Virginia,"235,984","545,382",29.70%,68.60%,WV,38.6409,-80.6227
18,Wisconsin,"1,630,866","1,610,184",49.40%,48.80%,WI,44.6243,-89.9941
60,Wyoming,"73,491","193,559",26.60%,69.90%,WY,42.9957,-107.5512
