fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.008,other,3.5,1.84,0.88,0.26,0.11,5,actual,85,actual,0.69,1,0,1,0,0,0,0,70183,356,112922,2374884,235,1853,1026,18,0.58,130,90,5,0.676923076923,51,822845,347501,301947,2021-06-17,https://covidactnow.org/us/alaska-ak,0.475,0.413,0,634868
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.041,other,4.3,0.38,0.94,0.1,0.17,73,actual,1214,actual,0.78,1,1,1,1,1,0,1,545758,11288,545499,4122989,404,19167,11595,280,0.6,1644,1287,73,0.7,160,4692070,1822146,1508504,2021-06-17,https://covidactnow.org/us/alabama-al,0.372,0.308,7,3141802
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.046,other,8.2,0.64,1.12,0.12,0.19,75,actual,604,actual,0.68,2,1,1,1,2,0,0,344657,5869,236788,2576810,790,13284,6797,209,0.55,1000,679,75,0.61,288,2803630,1231211,990045,2021-06-17,https://covidactnow.org/us/arkansas-ar,0.408,0.328,6,2161876
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.038,other,5.8,0.19,0.93,0.1,0.07,80,actual,1013,actual,0.49,1,1,1,1,1,0,0,886664,17791,890437,7079569,396,18286,11998,500,0.6,2227,1093,80,0.829018663456,436,7951295,3495529,2775927,2021-06-17,https://covidactnow.org/us/arizona-az,0.48,0.381,12,6237009
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.008,other,2.2,2.4,0.95,0.1,0.1,240,actual,4519,actual,0.68,1,0,1,0,1,0,0,3805203,63223,3762991,53993038,10600,99574,47966,1217,0.6,6960,4759,240,0.59,825,48326170,23455298,18660531,2021-06-17,https://covidactnow.org/us/california-ca,0.594,0.472,19,40901003
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.021,other,9.4,0.48,0.91,0.1,0.29,149,actual,785,actual,0.72,1,0,1,1,1,0,1,555248,6852,532081,7564659,1300,13464,8178,445,0.63,1299,934,149,0.8043135192,634,6905280,3251443,2833756,2021-06-17,https://covidactnow.org/us/colorado-co,0.565,0.492,12,5957784
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.004,other,1.2,4.04,0.73,0.18,0.02,11,actual,542,actual,0.53,1,0,1,0,0,0,0,347736,8265,473618,8890127,860,8238,6476,101,0.68,1052,553,11,0.65,39,4649255,2333883,2064217,2021-06-17,https://covidactnow.org/us/connecticut-ct,0.655,0.579,2,4261077
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.006,other,1.9,3.91,0.76,0.35,0.19,15,actual,269,actual,0.82,1,0,1,0,0,0,2,49223,1139,69137,1945016,268,4623,2752,83,0.76,346,284,15,0.8289855072460001,10,1050425,417466,349725,2021-06-17,https://covidactnow.org/us/district_of_columbia-dc,0.592,0.496,1,826448
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.011,other,3.4,1.27,0.79,0.22,0.11,5,actual,144,actual,0.78,1,0,1,0,0,0,1,109421,1679,125891,2011496,211,4052,2596,46,0.71,190,149,5,0.73,42,1258695,551139,453639,2021-06-17,https://covidactnow.org/us/delaware-de,0.566,0.466,0,990487
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.036,other,7.6,0.32,0.95,0.1,0.23,455,actual,4424,actual,0.76,1,1,1,1,1,0,1,2296916,37265,2858041,27486538,2600,76852,44571,1869,0.76,6382,4879,455,0.76,11454,24344495,11085890,9170862,2021-06-17,https://covidactnow.org/us/florida-fl,0.516,0.427,0,19995214
