,fips,state,level,population,vac_ratio,Unnamed: 0,state_name,dem_votes,rep_votes,dem_percent,rep_percent,Latitude,Longitude
0,1,AL,state,4903185,0.3720000000000001,20,Alabama,"849,624","1,441,170",36.60%,62.00%,32.7794,-86.8287
1,2,AK,state,731545,0.475,21,Alaska,"153,778","189,951",42.80%,52.80%,64.0685,-152.2782
2,4,AZ,state,7278717,0.48,4,Arizona,"1,672,143","1,661,686",49.40%,49.10%,34.2744,-111.6602
3,5,AR,state,3017804,0.408,22,Arkansas,"423,932","760,647",34.80%,62.40%,34.8938,-92.4426
4,6,CA,state,39512223,0.594,23,California,"11,110,250","6,006,429",63.50%,34.30%,37.1841,-119.4696
5,8,CO,state,5758736,0.565,24,Colorado,"1,804,352","1,364,607",55.40%,41.90%,38.9972,-105.5478
6,9,CT,state,3565287,0.655,25,Connecticut,"1,080,831","714,717",59.30%,39.20%,41.6219,-72.7273
7,10,DE,state,973764,0.5660000000000001,26,Delaware,"296,268","200,603",58.70%,39.80%,38.9896,-75.505
8,11,DC,state,705749,0.5920000000000001,27,District of Columbia,"317,323","18,586",92.10%,5.40%,38.9101,-77.0147
9,12,FL,state,21477737,0.516,5,Florida,"5,297,045","5,668,731",47.90%,51.20%,28.6305,-82.4497
10,13,GA,state,10617423,0.413,6,Georgia,"2,473,633","2,461,854",49.50%,49.30%,32.6415,-83.4426
11,15,HI,state,1415872,0.6859999999999999,28,Hawaii,"366,130","196,864",63.70%,34.30%,20.2927,-156.3737
12,16,ID,state,1787065,0.387,29,Idaho,"287,021","554,119",33.10%,63.90%,44.3509,-114.613
13,17,IL,state,12671821,0.573,30,Illinois,"3,471,915","2,446,891",57.50%,40.60%,40.0417,-89.1965
14,18,IN,state,6732219,0.433,31,Indiana,"1,242,413","1,729,516",41.00%,57.00%,39.8942,-86.2816
15,19,IA,state,3155070,0.504,7,Iowa,"759,061","897,672",44.90%,53.10%,42.0751,-93.49600000000001
16,20,KS,state,2913314,0.481,32,Kansas,"570,323","771,406",41.60%,56.20%,38.4937,-98.3804
17,21,KY,state,4467673,0.482,33,Kentucky,"772,474","1,326,646",36.20%,62.10%,37.5347,-85.3021
18,22,LA,state,4648794,0.371,34,Louisiana,"856,034","1,255,776",39.90%,58.50%,31.0689,-91.9968
19,23,ME,state,1344212,0.652,35,Maine,"435,072","360,737",53.10%,44.00%,45.3695,-69.2428
20,24,MD,state,6045680,0.6,37,Maryland,"1,985,023","976,414",65.40%,32.20%,39.055,-76.7909
21,25,MA,state,6892503,0.687,38,Massachusetts,"2,382,202","1,167,202",65.60%,32.10%,42.2596,-71.8083
22,26,MI,state,9986857,0.503,9,Michigan,"2,804,040","2,649,852",50.60%,47.80%,44.3467,-85.4102
23,27,MN,state,5639632,0.5589999999999999,10,Minnesota,"1,717,077","1,484,065",52.40%,45.30%,46.2807,-94.3053
24,28,MS,state,2976149,0.35200000000000004,39,Mississippi,"539,508","756,789",41.10%,57.60%,32.7364,-89.6678
25,29,MO,state,6137428,0.435,40,Missouri,"1,253,014","1,718,736",41.40%,56.80%,38.3566,-92.458
26,30,MT,state,1068778,0.467,41,Montana,"244,786","343,602",40.50%,56.90%,47.0527,-109.6333
27,31,NE,state,1934408,0.498,42,Nebraska,"374,583","556,846",39.40%,58.50%,41.5378,-99.7951
28,32,NV,state,3080156,0.477,12,Nevada,"703,486","669,890",50.10%,47.70%,39.3289,-116.6312
