State,Altitude,Longitude,,
ÊAlabama,32.7794,-86.8287,86.8287,-86.8287
ÊAlaska,64.0685,-152.2782,152.2782,-152.2782
ÊArizona,34.2744,-111.6602,111.6602,-111.6602
ÊArkansas,34.8938,-92.4426,92.4426,-92.4426
ÊCalifornia,37.1841,-119.4696,119.4696,-119.4696
ÊColorado,38.9972,-105.5478,105.5478,-105.5478
ÊConnecticut,41.6219,-72.7273,72.7273,-72.7273
ÊDelaware,38.9896,-75.505,75.505,-75.505
ÊDistrict of Columbia,38.9101,-77.0147,77.0147,-77.0147
Florida,28.6305,-82.4497,82.4497,-82.4497
ÊGeorgia,32.6415,-83.4426,83.4426,-83.4426
ÊHawaii,20.2927,-156.3737,156.3737,-156.3737
ÊIdaho,44.3509,-114.613,114.613,-114.613
ÊIllinois,40.0417,-89.1965,89.1965,-89.1965
ÊIndiana,39.8942,-86.2816,86.2816,-86.2816
ÊIowa,42.0751,-93.496,93.496,-93.496
ÊKansas,38.4937,-98.3804,98.3804,-98.3804
ÊKentucky,37.5347,-85.3021,85.3021,-85.3021
ÊLouisiana,31.0689,-91.9968,91.9968,-91.9968
ÊMaine,45.3695,-69.2428,69.2428,-69.2428
ÊMaryland,39.055,-76.7909,76.7909,-76.7909
ÊMassachusetts,42.2596,-71.8083,71.8083,-71.8083
ÊMichigan,44.3467,-85.4102,85.4102,-85.4102
ÊMinnesota,46.2807,-94.3053,94.3053,-94.3053
ÊMississippi,32.7364,-89.6678,89.6678,-89.6678
ÊMissouri,38.3566,-92.458,92.458,-92.458
ÊMontana,47.0527,-109.6333,109.6333,-109.6333
ÊNebraska,41.5378,-99.7951,99.7951,-99.7951
ÊNevada,39.3289,-116.6312,116.6312,-116.6312
ÊNew Hampshire,43.6805,-71.5811,71.5811,-71.5811
ÊNew Jersey,40.1907,-74.6728,74.6728,-74.6728
ÊNew Mexico,34.4071,-106.1126,106.1126,-106.1126
ÊNew York,42.9538,-75.5268,75.5268,-75.5268
ÊNorth Carolina,35.5557,-79.3877,79.3877,-79.3877
ÊNorth Dakota,47.4501,-100.4659,100.4659,-100.4659
ÊOhio,40.2862,-82.7937,82.7937,-82.7937
ÊOklahoma,35.5889,-97.4943,97.4943,-97.4943
ÊOregon,43.9336,-120.5583,120.5583,-120.5583
ÊPennsylvania,40.8781,-77.7996,77.7996,-77.7996
ÊRhode Island,41.6762,-71.5562,71.5562,-71.5562
ÊSouth Carolina,33.9169,-80.8964,80.8964,-80.8964
ÊSouth Dakota,44.4443,-100.2263,100.2263,-100.2263
ÊTennessee,35.858,-86.3505,86.3505,-86.3505
ÊTexas,31.4757,-99.3312,99.3312,-99.3312
ÊUtah,39.3055,-111.6703,111.6703,-111.6703
ÊVermont,44.0687,-72.6658,72.6658,-72.6658
ÊVirginia,37.5215,-78.8537,78.8537,-78.8537
ÊWashington,47.3826,-120.4472,120.4472,-120.4472
ÊWest Virginia,38.6409,-80.6227,80.6227,-80.6227
ÊWisconsin,44.6243,-89.9941,89.9941,-89.9941
ÊWyoming,42.9957,-107.5512,107.5512,-107.5512
